shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr
Puerto Siles,44.799999,288,-64.986065,-12.424453,15.1,32.099998,0,0,0,0,0,219
Exaltación,44.099998,291,-65.783177,-12.804001,25.200001,20.1,0,3,0,0,0,112
Riberalta,50.5,175,-66.100396,-11.527484,15.1,32.099998,0,31,23,75,190,121
Porvenir,52.599998,126,-68.793863,-11.238038,15.4,27.5,0,0,5,60,0,93
Bella Flor,48.5,212,-67.932177,-10.933113,25.700001,17.200001,0,4,13,0,0,62
San Pedro,36.400002,336,-66.59048,-11.024991,25.700001,17.200001,0,0,9,0,0,76
Puerto Rico,49.200001,199,-67.538198,-11.327729,15.4,27.5,0,0,10,57,0,145
Santa Rosa,55.5,76,-67.278336,-10.731101,15.1,32.099998,0,1,1,29,0,119
Ingavi,43.599998,295,-66.7474,-10.50408,25.700001,17.200001,0,5,41,55,0,328
Guayaramerín,53.099998,112,-65.435058,-11.309973,9.2,33.799999,0,10,37,72,172,110
Villa Nueva,43.0,305,-66.104964,-10.651288,25.700001,17.200001,0,0,25,32,0,256
Santos Mercado,40.900002,318,-66.136759,-10.153707,25.700001,17.200001,0,0,52,0,0,166
Nueva Esperanza,46.0,273,-65.537924,-10.111461,25.700001,17.200001,0,0,81,42,109,188
Santiago de Huata,51.900002,143,-68.83323,-16.086559,14.0,22.799999,0,0,0,0,0,69
Puerto Pérez,45.0,285,-68.619281,-16.329073,23.1,21.700001,0,0,0,11,29,30
Chuquihuta Ayllu Jucumani,38.400002,331,-66.35298,-18.633016,49.200001,11.3,0,0,0,56,0,102
Bolpebra,40.799999,319,-69.226314,-11.169207,25.700001,17.200001,0,4,0,129,0,150
Filadelfia,48.299999,216,-68.53308,-11.756114,25.700001,17.200001,0,8,4,49,0,156
Alto Beni,47.5,237,-67.39042,-15.605211,38.5,13.6,0,1,0,151,0,73
Caranavi,53.5,103,-67.487668,-15.844957,23.1,21.700001,0,120,0,282,66,62
Huarina,54.200001,95,-68.595528,-16.164761,23.1,21.700001,0,0,0,0,0,39
Bolivar,42.200001,311,-66.644792,-18.015139,18.1,23.4,0,0,0,0,0,32
Chua Cocani,52.700001,123,-68.750455,-16.159307,14.0,22.799999,0,0,0,0,0,26
Humanata,46.700001,261,-69.171002,-15.414573,38.5,13.6,0,0,0,0,0,34
Villa Vaca Guzmán,51.599998,147,-63.802508,-19.893153,24.299999,27.1,49,2,0,58,24,81
Batallas,53.0,117,-68.434729,-16.164549,23.1,21.700001,0,0,0,5,0,39
Padilla,54.200001,96,-64.160629,-19.375145,40.599998,16.9,1,0,0,9,69,92
Mojocoya,46.700001,262,-64.643755,-18.781303,40.599998,16.9,4,0,0,0,89,54
Pucará,52.900002,118,-64.19104,-18.762325,12.5,31.200001,7,0,0,0,0,74
Villa Serrano,52.400002,132,-64.299022,-18.952216,24.299999,27.1,0,0,0,34,21,55
Macharetí,48.0,224,-62.87946,-20.725258,24.299999,27.1,21,5,0,25,65,93
Boyuibe,55.5,74,-63.075601,-20.338891,12.5,31.200001,1,0,0,68,43,69
Cuevo,54.700001,90,-63.539361,-20.330302,12.5,31.200001,11,0,0,18,46,66
Camiri,62.700001,19,-63.487456,-20.034517,7.6,32.799999,5,0,0,62,75,56
Cocapata,40.299999,324,-66.55238,-16.48881,30.200001,14.7,0,0,0,15,0,76
Vallegrande,60.900002,26,-63.939699,-18.783797,7.6,32.799999,1,0,0,21,40,84
Gutiérrez,46.799999,260,-63.501133,-19.396654,20.9,19.5,0,0,0,44,0,114
Sucre,69.599998,5,-65.250075,-18.937407,14.8,28.5,1,0,0,57,266,44
Presto,44.099998,292,-64.893186,-18.755622,40.599998,16.9,3,0,0,51,37,92
Postrervalle,53.400002,104,-63.763883,-18.624948,20.9,19.5,0,0,0,0,0,77
Trigal,58.799999,37,-64.132951,-18.286779,7.6,32.799999,5,0,0,0,0,40
Quirusillas,52.900002,119,-63.938608,-18.370062,7.6,32.799999,1,0,0,53,0,37
Cabezas,49.799999,188,-63.268835,-18.464391,12.5,31.200001,0,0,0,36,33,72
Cotoca,55.0,83,-62.908561,-17.75432,7.6,32.799999,0,0,0,116,126,87
Yapacaní,47.799999,228,-64.362292,-16.751756,12.5,31.200001,0,0,0,131,284,97
Cuatro Cañadas,53.599998,102,-62.242654,-17.23731,7.6,32.799999,2,0,0,77,0,56
San Ramón,49.200001,201,-62.4342,-16.576975,7.6,32.799999,0,0,0,45,29,84
San Javier,46.5,264,-62.491025,-16.233524,25.200001,20.1,0,0,0,17,0,148
