shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr
Esmeralda,53.200001,108,-68.086369,-18.945744,19.200001,20.6,0,0,0,0,0,14
Santuario de Quillacas,50.5,171,-66.813557,-19.318918,31.5,19.5,0,0,0,23,0,55
Pampa Aullagas,47.299999,246,-67.165981,-19.231799,31.5,19.5,0,0,0,34,0,55
Llallagua,58.099998,44,-66.572717,-18.36274,18.0,18.9,0,0,0,68,47,54
Caripuyo,43.5,299,-66.592666,-18.180206,29.5,18.0,0,0,0,11,0,85
Aiquile,50.400002,177,-65.104024,-18.322991,18.1,23.4,2,0,0,32,41,85
Sacaca,42.200001,312,-66.343593,-18.117116,49.200001,11.3,0,0,0,5,0,59
Acasio,42.099998,313,-66.014164,-18.049848,29.5,18.0,0,0,0,31,0,86
Huanuni,56.799999,59,-66.765546,-18.263649,19.200001,20.6,0,0,0,85,181,55
Huachacalla,61.299999,23,-68.275615,-18.795671,19.200001,20.6,0,0,0,0,0,0
Santiago de Huari,50.599998,169,-66.563699,-19.164007,31.5,19.5,0,0,0,6,0,53
Pazña,54.299999,92,-66.912813,-18.613601,19.200001,20.6,0,0,0,32,0,57
Villa Rivero,52.5,130,-65.852484,-17.649075,11.0,24.700001,1,0,0,33,0,66
Andamarca,46.0,274,-67.381115,-18.89269,52.599998,12.2,0,0,0,0,0,32
Chacarilla,43.099998,302,-68.171628,-17.548561,38.5,13.6,0,0,0,0,0,51
Arbieto,50.900002,165,-66.065629,-17.559227,18.1,23.4,1,0,0,23,37,66
Papel Pampa,50.299999,178,-67.709664,-17.697079,23.1,21.700001,0,0,0,13,0,57
Umala,51.200001,157,-67.997014,-17.40386,23.1,21.700001,0,0,0,11,0,36
Oruro,67.400002,9,-67.091248,-17.960406,19.200001,20.6,0,0,0,46,317,43
Huayllamarca,47.5,241,-67.82031,-17.927772,52.599998,12.2,0,0,0,17,0,71
San Pedro de Curahuara,49.0,206,-67.966876,-17.632578,38.5,13.6,0,0,0,11,0,49
Sicaya,46.599998,263,-66.341352,-17.789832,30.200001,14.7,5,0,0,0,0,47
Puerto Quijarro,64.0,15,-57.68504,-18.426798,7.6,32.799999,0,0,0,88,213,80
Capinota,55.0,85,-66.226315,-17.777533,18.1,23.4,0,0,0,57,84,68
Arque,40.400002,322,-66.416805,-17.825444,30.200001,14.7,1,0,0,9,0,96
Corocoro,47.5,238,-68.432505,-17.173211,38.5,13.6,0,0,0,0,0,77
San Benito,58.099998,45,-65.880135,-17.497147,11.0,24.700001,0,0,0,43,32,53
Sapahaqui,48.099998,223,-67.836405,-16.953427,23.1,21.700001,1,0,0,31,0,32
Cairoma,48.400002,214,-67.577244,-16.845168,23.1,21.700001,2,0,0,18,0,70
Colquiri,46.799999,258,-66.993632,-17.421642,23.1,21.700001,0,0,0,4,37,90
Ichoca,41.799999,315,-67.192907,-17.185952,38.5,13.6,0,0,0,0,0,53
La Guardia,56.400002,65,-63.233832,-18.054188,7.6,32.799999,19,0,0,69,81,65
Moromoro,55.400002,77,-64.343624,-18.320648,12.5,31.200001,21,0,0,0,0,126
El Torno,53.0,114,-63.468331,-18.048245,7.6,32.799999,10,0,0,71,205,73
Samaipata,59.0,34,-63.749871,-18.175652,7.6,32.799999,0,0,0,121,0,83
San Lucas,42.299999,310,-64.899068,-20.160679,40.599998,16.9,1,0,0,68,22,86
Culpina,45.799999,277,-64.572334,-20.869892,40.599998,16.9,4,0,0,43,27,86
Incahuasi,40.099998,326,-64.572757,-20.591149,40.599998,16.9,0,0,0,35,36,81
San Juan,51.299999,155,-63.998189,-16.860315,12.5,31.200001,0,1,0,116,0,107
Tinguipaya,36.400002,337,-65.904561,-19.170294,49.200001,11.3,0,0,0,3,0,80
San Pedro,36.299999,338,-65.968319,-18.340654,49.200001,11.3,1,0,0,9,32,100
Villa Ancoraimes,47.099998,252,-68.868144,-15.854028,23.1,21.700001,0,0,0,0,19,30
"Colcha ""K""",54.099998,97,-67.313798,-21.204733,29.5,18.0,0,0,0,6,0,100
Puerto Mayor de Carabuco,47.5,236,-69.001266,-15.71281,23.1,21.700001,0,0,0,28,0,63
Sabaya,50.0,186,-68.610299,-18.90801,31.5,19.5,0,0,0,0,30,47
Loreto,43.900002,294,-64.920716,-15.568192,25.200001,20.1,0,0,0,24,0,200
Tomave,46.799999,259,-66.394009,-20.101679,49.200001,11.3,0,0,0,18,0,87
Porco,55.200001,79,-65.984158,-19.807815,18.0,18.9,0,0,0,26,0,90
Villa Montes,63.900002,16,-62.911854,-21.401037,14.2,27.5,3,1,0,76,0,74
Yocalla,49.400002,195,-65.941579,-19.49558,18.0,18.9,0,0,0,10,0,74
Urmiri,42.400002,309,-66.181222,-19.472973,49.200001,11.3,0,0,0,0,0,9
Mocomoco,46.299999,268,-69.036253,-15.450824,23.1,21.700001,0,0,0,6,0,53
Saipina,55.099998,80,-64.640704,-18.022719,7.6,32.799999,2,0,0,11,0,94
Omereque,55.099998,81,-64.893546,-18.070062,18.1,23.4,3,0,0,0,0,61
Porongo,55.700001,70,-63.364495,-17.749284,7.6,32.799999,0,0,0,11,29,72
Santa Cruz de la Sierra,64.099998,13,-62.997201,-17.806888,7.6,32.799999,0,0,0,123,484,61
San Ignacio,48.900002,208,-65.686899,-15.468124,25.200001,20.1,0,0,0,4,33,119
San Javier,48.099998,219,-64.425263,-14.42204,12.5,31.200001,0,0,0,32,0,100
San Pedro,57.700001,50,-63.612694,-16.516767,7.6,32.799999,0,0,0,105,0,81
Cajuata,55.400002,78,-67.247674,-16.637656,14.0,22.799999,0,0,0,60,0,69
Inquisivi,44.0,293,-66.977619,-16.682965,38.5,13.6,0,0,0,13,0,62
Irupana,55.599998,72,-67.509467,-16.51059,14.0,22.799999,0,0,0,96,13,85
Chulumani,56.5,63,-67.538645,-16.390653,14.0,22.799999,0,0,0,188,25,65
Poopó,51.299999,154,-66.941924,-18.36646,19.200001,20.6,0,0,0,12,0,77
Totora,48.400002,215,-68.179447,-17.854556,52.599998,12.2,0,0,0,0,0,69
Betanzos,47.5,239,-65.226002,-19.457644,29.5,18.0,2,0,0,21,0,74
Turco,50.5,176,-68.530185,-18.33705,31.5,19.5,0,0,0,0,90,80
Todos Santos,45.5,280,-68.758792,-19.028576,52.599998,12.2,0,0,0,0,0,0
Concepción,52.0,142,-62.112093,-15.298619,12.5,31.200001,0,0,0,49,34,116
Santa Rosa,47.200001,248,-63.839265,-16.6587,12.5,31.200001,0,0,0,31,34,104
Huacaraje,46.900002,257,-64.062737,-13.824182,15.1,32.099998,0,2,0,0,0,137
La Rivera,52.799999,121,-68.660838,-19.061529,31.5,19.5,0,0,0,0,0,125
Entre Ríos,55.599998,73,-64.065841,-21.398108,23.299999,26.0,5,1,0,33,0,85
San Joaquín,53.799999,100,-64.856105,-12.96164,15.1,32.099998,0,0,0,65,0,110
San Ramón,52.400002,131,-64.599167,-13.506861,15.1,32.099998,0,1,0,19,0,115
Tiahuanacu,51.400002,152,-68.695836,-16.558634,23.1,21.700001,0,0,0,7,0,38
Colquechaca,40.299999,325,-66.013197,-18.807658,49.200001,11.3,1,0,0,19,0,94
Pocoata,41.0,317,-66.155372,-18.64008,49.200001,11.3,0,0,0,20,0,66
Llica,49.200001,202,-68.412229,-20.049905,29.5,18.0,0,0,0,0,0,118
Quillacollo,69.800003,4,-66.329013,-17.212015,11.0,24.700001,3,0,0,75,59,48
Sacaba,68.5,6,-66.030108,-17.331359,11.0,24.700001,1,0,0,45,60,51
Tiquipaya,65.800003,12,-66.202123,-17.187473,11.0,24.700001,0,0,0,50,108,52
Colcapirhua,68.099998,7,-66.232921,-17.391253,11.0,24.700001,0,0,0,61,80,46
Sipesipe,58.799999,38,-66.391038,-17.502565,11.0,24.700001,1,0,0,52,22,70
Vinto,64.0,14,-66.374902,-17.342434,11.0,24.700001,0,0,0,45,78,58
Tarata,55.0,84,-66.064844,-17.691811,18.1,23.4,1,0,0,81,29,58
Totora,47.799999,229,-65.144681,-17.586151,30.200001,14.7,0,0,0,30,62,101
Buena Vista,56.400002,66,-63.75708,-17.698083,7.6,32.799999,0,0,0,81,0,96
San Carlos,54.400002,91,-63.753136,-17.290946,7.6,32.799999,0,0,0,70,267,76
Magdalena,52.700001,122,-63.686895,-12.994893,15.1,32.099998,0,3,1,31,61,114
Portachuelo,61.099998,25,-63.449182,-17.35716,7.6,32.799999,0,0,0,20,90,98
San Antonio de Esmoruco,47.900002,227,-66.633628,-22.083896,29.5,18.0,0,0,0,0,0,92
Uriondo,59.5,30,-64.708696,-21.743058,14.2,27.5,0,0,0,32,0,66
Mojinete,40.400002,323,-66.351031,-21.813115,49.200001,11.3,0,0,0,0,0,83
Yacuiba,62.5,20,-63.284749,-21.795791,14.2,27.5,2,2,0,116,15,62
Yunchará,51.799999,145,-65.162798,-21.79089,23.299999,26.0,0,0,0,17,0,111
Caraparí,63.0,18,-63.898393,-21.815287,14.2,27.5,1,0,0,71,0,91
San Lorenzo,59.5,31,-64.696018,-21.234834,14.2,27.5,1,0,0,19,0,58
El Puente,42.700001,307,-65.049619,-21.278403,20.9,19.5,0,0,0,18,94,131
Toro Toro,40.599998,320,-65.700796,-18.20967,49.200001,11.3,1,0,0,44,0,119
San Agustín,49.799999,189,-67.413827,-21.495455,29.5,18.0,0,0,0,0,0,97
Tarija,70.599998,3,-64.593914,-21.559475,14.2,27.5,1,0,0,46,209,47
Tahua,52.299999,134,-67.943756,-20.288352,18.0,18.9,0,0,0,0,0,114
San Pablo,48.599998,210,-67.234475,-22.177457,29.5,18.0,0,0,0,0,0,101
Las Carreras,50.799999,168,-65.320278,-21.295,24.299999,27.1,12,0,0,68,0,100
Villa Abecia,50.099998,184,-65.28834,-20.986674,24.299999,27.1,0,0,0,0,132,96
Morochata,46.200001,272,-66.570625,-17.202205,30.200001,14.7,0,0,0,45,19,70
Carangas,46.5,265,-68.661292,-18.901463,52.599998,12.2,0,0,0,0,0,76
Yunguyo del Litoral,50.5,170,-68.351925,-18.87584,31.5,19.5,0,0,0,0,0,0
Cruz de Machacamarca,45.200001,283,-68.374524,-18.716615,31.5,19.5,0,0,0,0,0,26
Antequera,51.5,150,-66.77567,-18.525228,19.200001,20.6,0,0,0,0,0,93
Nazacara de Pacajes,53.099998,109,-68.75468,-16.92703,23.1,21.700001,0,0,0,0,0,0
Caquiaviri,48.599998,211,-68.818053,-17.085324,38.5,13.6,0,0,0,0,0,51
Belén de Andamarca,48.400002,213,-67.750082,-18.891337,31.5,19.5,0,0,0,0,0,72
Corque,46.400002,266,-67.799316,-18.46335,52.599998,12.2,0,0,0,21,0,81
Vitiche,47.5,240,-65.432375,-20.350326,29.5,18.0,1,0,0,18,0,56
Luribay,53.099998,113,-67.634265,-17.093324,23.1,21.700001,1,0,0,25,0,46
Machacamarca,56.5,62,-66.974281,-18.152264,19.200001,20.6,0,0,0,19,0,49
Arampampa,42.5,308,-66.125985,-17.945554,49.200001,11.3,0,0,0,0,0,143
Sacabamba,44.700001,289,-65.78711,-17.776395,30.200001,14.7,0,0,0,22,55,61
Anzaldo,43.099998,303,-65.9162,-17.843596,30.200001,14.7,1,0,0,0,67,70
Toco,52.700001,125,-65.919609,-17.645628,11.0,24.700001,0,0,0,0,0,40
Villa Gualberto Villarroel,49.599998,192,-65.769604,-17.689699,18.1,23.4,0,0,0,0,0,50
Tacachi,51.099998,162,-65.789375,-17.636536,11.0,24.700001,2,0,0,0,0,65
Cliza,60.5,27,-65.937021,-17.583151,11.0,24.700001,0,0,0,46,64,52
Tacopaya,43.599998,297,-66.625626,-17.826491,30.200001,14.7,0,0,0,18,23,28
El Choro,42.900002,306,-67.174581,-18.263473,52.599998,12.2,0,0,0,9,0,43
Toledo,45.599998,278,-67.413123,-18.275951,52.599998,12.2,0,0,0,0,0,57
Santivañez,52.0,141,-66.218111,-17.573561,11.0,24.700001,4,0,0,42,35,45
Paria,48.900002,207,-66.93588,-17.857265,31.5,19.5,0,0,0,8,0,49
Collana,52.299999,133,-68.301453,-16.904149,14.0,22.799999,0,0,0,20,0,37
Tolata,57.599998,53,-66.004412,-17.526997,11.0,24.700001,1,0,0,83,85,41
Cobija,57.099998,57,-68.87244,-11.079918,9.4,29.0,0,3,2,123,152,109
Eucaliptus,58.599998,40,-67.43962,-17.634321,19.200001,20.6,0,0,0,0,0,85
Santiago de Callapa,44.400002,290,-68.346673,-17.400623,38.5,13.6,0,0,0,0,0,22
Cochabamba,73.699997,2,-66.167934,-17.424973,11.0,24.700001,3,0,0,50,486,45
Caracollo,53.200001,107,-67.292906,-17.691993,31.5,19.5,0,0,0,25,21,45
Catacora,51.0,164,-69.480529,-17.252627,23.1,21.700001,0,0,0,0,0,42
Yaco,47.099998,251,-67.398227,-17.240916,23.1,21.700001,0,0,0,0,0,53
Calacoto,46.200001,271,-68.772336,-17.562269,38.5,13.6,0,0,0,0,0,71
Arani,57.900002,48,-65.727146,-17.592735,11.0,24.700001,3,0,0,10,0,39
Punata,63.700001,17,-65.832796,-17.548304,11.0,24.700001,2,0,0,63,104,38
Sicasica,50.799999,167,-67.618452,-17.375314,23.1,21.700001,0,0,0,21,0,42
